[2024-01-02T19:46:36.464+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.470+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.475+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.480+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.486+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.491+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.497+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.503+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.509+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.515+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.521+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.526+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.532+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.539+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.544+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.551+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.556+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.561+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.566+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.572+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.579+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.585+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.591+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.596+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.602+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.608+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.613+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.619+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.625+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.631+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.637+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.642+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.648+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.654+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.661+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.667+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.673+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.678+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.684+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.690+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.696+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.702+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.708+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.714+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.719+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.725+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.731+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.736+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.742+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.748+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.753+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.759+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.765+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.770+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:36.776+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
