[2024-01-03T07:09:24.049+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-03T07:09:19.278084+00:00 [queued]>
[2024-01-03T07:09:24.092+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-03T07:09:19.278084+00:00 [queued]>
[2024-01-03T07:09:24.093+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2024-01-03T07:09:24.337+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): first_attempt> on 2024-01-03 07:09:19.278084+00:00
[2024-01-03T07:09:24.360+0000] {standard_task_runner.py:57} INFO - Started process 913 to run task
[2024-01-03T07:09:24.369+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', '24_01_02_fx_mkt_data', 'first_attempt', 'manual__2024-01-03T07:09:19.278084+00:00', '--job-id', '280', '--raw', '--subdir', 'DAGS_FOLDER/get_fx_mkt_data.py', '--cfg-path', '/tmp/tmpvkm_r82h']
[2024-01-03T07:09:24.376+0000] {standard_task_runner.py:85} INFO - Job 280: Subtask first_attempt
[2024-01-03T07:09:24.616+0000] {task_command.py:416} INFO - Running <TaskInstance: 24_01_02_fx_mkt_data.first_attempt manual__2024-01-03T07:09:19.278084+00:00 [running]> on host ff92cbb9a252
[2024-01-03T07:09:25.048+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='24_01_02_fx_mkt_data' AIRFLOW_CTX_TASK_ID='first_attempt' AIRFLOW_CTX_EXECUTION_DATE='2024-01-03T07:09:19.278084+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-03T07:09:19.278084+00:00'
[2024-01-03T07:09:25.052+0000] {oandapyV20.py:207} INFO - setting up API-client for environment practice
[2024-01-03T07:09:26.408+0000] {logging_mixin.py:154} INFO - vendor id: 6
[2024-01-03T07:09:26.437+0000] {logging_mixin.py:154} INFO - security id: 46686, symbol: AUD_USD, last date: None
[2024-01-03T07:09:26.441+0000] {oandapyV20.py:261} INFO - performing request https://api-fxpractice.oanda.com/v3/instruments/AUD_USD/candles
[2024-01-03T07:09:27.064+0000] {oandapyV20.py:261} INFO - performing request https://api-fxpractice.oanda.com/v3/instruments/AUD_USD/candles
[2024-01-03T07:09:27.611+0000] {logging_mixin.py:154} INFO - Added a record into database
[2024-01-03T07:09:27.624+0000] {logging_mixin.py:154} INFO - Added a record into database
